"Area Code","Area Name","Area Type","Time Period","Purpose of overseas resident's visits to the UK by month | All Visits","Purpose of overseas resident's visits to the UK by month | Business","Purpose of overseas resident's visits to the UK by month | Holiday","Purpose of overseas resident's visits to the UK by month | Miscellaneous","Purpose of overseas resident's visits to the UK by month | Visiting friends or relatives","Purpose of UK resident's visits abroad by month | All Visits","Purpose of UK resident's visits abroad by month | Business","Purpose of UK resident's visits abroad by month | Holiday","Purpose of UK resident's visits abroad by month | Miscellaneous","Purpose of UK resident's visits abroad by month | Visiting friends or relatives"
"K02000001","United Kingdom","UK","May 2014",3274.000,790.000,1448.000,214.000,822.000,5655.000,649.000,3726.000,130.000,1150.000
"K02000001","United Kingdom","UK","May 2015",3560.000,890.000,1570.000,240.000,870.000,6110.000,700.000,3980.000,170.000,1260.000
"K02000001","United Kingdom","UK","Nov 2012",2476.000,737.000,766.000,229.000,744.000,3368.000,641.000,1735.000,166.000,827.000
"K02000001","United Kingdom","UK","Nov 2013",2443.000,736.000,747.000,208.000,753.000,3558.000,656.000,1944.000,132.000,826.000
"K02000001","United Kingdom","UK","Nov 2014",2625.000,772.000,855.000,227.000,772.000,3724.000,593.000,2147.000,103.000,882.000
"K02000001","United Kingdom","UK","Oct 2012",2690.000,694.000,1033.000,204.000,759.000,5095.000,718.000,3274.000,144.000,960.000
"K02000001","United Kingdom","UK","Oct 2013",2980.000,765.000,1141.000,247.000,828.000,4854.000,679.000,3159.000,117.000,899.000
"K02000001","United Kingdom","UK","Oct 2014",3008.000,843.000,1105.000,207.000,853.000,5297.000,668.000,3517.000,147.000,964.000
"K02000001","United Kingdom","UK","Sep 2012",2612.000,709.000,974.000,247.000,682.000,6399.000,689.000,4344.000,126.000,1240.000
"K02000001","United Kingdom","UK","Sep 2013",2806.000,733.000,1090.000,251.000,732.000,6426.000,618.000,4468.000,116.000,1225.000
"K02000001","United Kingdom","UK","Sep 2014",2984.000,855.000,1112.000,210.000,807.000,6554.000,609.000,4449.000,156.000,1340.000

